model,experiment,pair_A,pair_B,temperature,system_size,prompt_variant,prompt_name,beta,h,beta_se,h_se
Qwen3-32B,temperature,renewable energy,fossil fuels,0.2,50,0,original,0.10000000000501987,0.9999998715692262,0.14333045657337795,68.35238457538425
Qwen3-32B,temperature,climate change believer,climate change skeptic,0.2,50,0,original,0.10000000000000002,0.9999999999998315,0.13149401213428566,62.70781599277324
Qwen3-32B,temperature,gender self-identification,biological sex classification,0.5,50,0,original,2.638582572758994,0.04211703174655986,0.330144374343488,0.029264254471945823
Qwen3-32B,temperature,renewable energy,fossil fuels,0.5,50,0,original,0.10000000000000002,0.9999999999891562,0.20771128188619106,99.05430729253722
Qwen3-32B,temperature,climate change believer,climate change skeptic,0.5,50,0,original,0.10000000000000027,0.9999882944045485,0.13880562413833558,66.19587161448099
Qwen3-32B,system_size,gender self-identification,biological sex classification,0.2,20,0,original,1.4078487198785308,-0.37027428233450926,0.19866498416854217,0.1119801000796142
Qwen3-32B,system_size,renewable energy,fossil fuels,0.2,20,0,original,0.14724319534607586,0.9999999999999808,0.2453406727364164,36.1592545862382
Qwen3-32B,system_size,climate change believer,climate change skeptic,0.2,20,0,original,0.10000000000000407,0.9999874034533098,0.14202617418755392,67.833732849934
Qwen3-32B,system_size,gender self-identification,biological sex classification,0.2,50,0,original,2.9974940115536284,0.04543891875032679,0.3199260418693368,0.02149636213227458
Qwen3-32B,system_size,renewable energy,fossil fuels,0.2,50,0,original,0.19935269557186835,0.9999999999997867,0.18916110765183014,10.96929472942982
Qwen3-32B,system_size,climate change believer,climate change skeptic,0.2,50,0,original,0.10000000000000002,0.999999999999883,0.1400452850102096,66.78613284394295
Qwen3-32B,system_size,gender self-identification,biological sex classification,0.2,100,0,original,3.0107972824086624,0.09660235069712801,0.35435693715276345,0.02371380315725724
Qwen3-32B,system_size,renewable energy,fossil fuels,0.2,100,0,original,0.14813479364460624,0.9999999999989793,0.17512981338551054,25.306366317109568
Qwen3-32B,system_size,climate change believer,climate change skeptic,0.2,100,0,original,0.10000000000000026,0.9999881957078139,0.13782554844098113,65.72819920054481
Qwen3-32B,system_size,gender self-identification,biological sex classification,0.2,200,0,original,3.1409766123285627,0.14606086138015295,0.2561088128040381,0.01594395415582411
Qwen3-32B,system_size,renewable energy,fossil fuels,0.2,200,0,original,0.12977800174442924,0.9999999999999972,0.13943607388134288,30.15859563670473
Qwen3-32B,system_size,climate change believer,climate change skeptic,0.2,200,0,original,0.10000000000000023,0.9999901875900147,0.14440928974409445,68.86779390950957
Qwen3-32B,system_size,gender self-identification,biological sex classification,0.2,500,0,original,2.9483728370242894,0.1989984098549355,0.21255774281319353,0.017121052302716846
Qwen3-32B,system_size,renewable energy,fossil fuels,0.2,500,0,original,0.10000000000000002,0.9999999957191144,0.09864778761715823,47.04390883725064
Qwen3-32B,system_size,climate change believer,climate change skeptic,0.2,500,0,original,0.10000000000000046,0.9999855401703309,0.1315543468212953,62.73744340292788
Qwen3-32B,prompt,gender self-identification,biological sex classification,0.2,50,0,original,2.71461095260541,0.025929489257931326,0.388249481091878,0.03213387018530539
Qwen3-32B,prompt,renewable energy,fossil fuels,0.2,50,0,original,0.15070882018481255,0.9999999999999817,0.2594287610084821,35.56493082411892
Qwen3-32B,prompt,climate change believer,climate change skeptic,0.2,50,0,original,0.1000000000000003,0.9999857574945361,0.1324538497050266,63.16685820061599
Qwen3-32B,prompt,gender self-identification,biological sex classification,0.2,50,1,peer_framing,3.844514061161252,0.1257767237629319,0.2389357948675428,0.009118080429068122
Qwen3-32B,prompt,renewable energy,fossil fuels,0.2,50,1,peer_framing,4.40090799292874,0.6326939592170178,0.32884628481359585,0.010059753388345277
Qwen3-32B,prompt,climate change believer,climate change skeptic,0.2,50,1,peer_framing,4.324855727071992,0.8710590313917351,0.307058523726455,0.006824651109352111
Qwen3-32B,prompt,gender self-identification,biological sex classification,0.2,50,2,survey_framing,4.804180245501765,0.10354399075073302,1.1120030625601336,0.027669985851430233
Qwen3-32B,prompt,renewable energy,fossil fuels,0.2,50,2,survey_framing,0.10000000000421218,0.9999999308747217,0.24119298487396268,115.02195800316402
Qwen3-32B,prompt,climate change believer,climate change skeptic,0.2,50,2,survey_framing,0.10000000000000801,0.999979074372446,0.1259358454606677,60.05850135784849
Qwen3-32B,prompt,gender self-identification,biological sex classification,0.2,50,3,discussion_framing,2.0771648973204053,0.24681427928033994,0.24142078951089102,0.05288562142363578
Qwen3-32B,prompt,renewable energy,fossil fuels,0.2,50,3,discussion_framing,2.3922921846198797,0.7699159247746019,0.286588608162816,0.023691725519241362
Qwen3-32B,prompt,climate change believer,climate change skeptic,0.2,50,3,discussion_framing,0.1934945307031166,0.9999999999998365,0.29606426618221093,18.82892859313704
Qwen3-32B,prompt,gender self-identification,biological sex classification,0.2,50,4,minimal,3.361051809658751,0.12814419301996077,0.3885155943822724,0.020265557975436332
Qwen3-32B,prompt,renewable energy,fossil fuels,0.2,50,4,minimal,0.10000000000000002,0.9999999999825967,0.20368817308496068,97.1364737996408
Qwen3-32B,prompt,climate change believer,climate change skeptic,0.2,50,4,minimal,0.10000000000000059,0.9999767711196857,0.12427140131824255,59.26522626727254
gpt-5-mini,system_size,gender self-identification,biological sex classification,0.2,20,0,original,0.10000000000000002,0.9999998347584131,0.2790172197020517,133.260170259778
gpt-5-mini,system_size,renewable energy,fossil fuels,0.2,20,0,original,0.20664458316693174,0.9999999999997844,0.28333190466072167,14.711420154528836
gpt-5-mini,system_size,climate change believer,climate change skeptic,0.2,20,0,original,6.086564523483124,0.8657784989467736,0.35108811903130244,0.0037168074289959663
gpt-5-mini,system_size,gender self-identification,biological sex classification,0.2,50,0,original,2.7366280367557256,0.9999999999999999,0.3074839762174679,0.018524956876176495
gpt-5-mini,system_size,renewable energy,fossil fuels,0.2,50,0,original,9.06052367531095,0.9124779418780777,0.38251997204424193,0.0019289851034824937
gpt-5-mini,system_size,climate change believer,climate change skeptic,0.2,50,0,original,5.953267521281234,0.8648428474267548,0.1113862145714384,0.0014316894821007045
gpt-5-mini,system_size,gender self-identification,biological sex classification,0.2,100,0,original,2.2658917704677575,0.92131248173089,0.1416548283222246,0.010043362283111647
gpt-5-mini,system_size,renewable energy,fossil fuels,0.2,100,0,original,4.304286295195551,0.9649004797704132,0.6070648308026733,0.014834299447992852
gpt-5-mini,system_size,climate change believer,climate change skeptic,0.2,100,0,original,5.6382095788902555,0.8190210522882266,0.31724545585761366,0.005104649038893735
gpt-5-mini,system_size,gender self-identification,biological sex classification,0.2,200,0,original,2.5585548372312275,0.7574404869852934,0.18903143760149652,0.014155800776072387
gpt-5-mini,system_size,renewable energy,fossil fuels,0.2,200,0,original,2.7189326736023736,0.9999999999999999,0.41384118359371075,0.025187558512125435
gpt-5-mini,system_size,climate change believer,climate change skeptic,0.2,200,0,original,2.9255901737659364,0.7315567597312056,0.15917662437702618,0.009918401724385215
gpt-5-mini,system_size,gender self-identification,biological sex classification,0.2,500,0,original,2.1488499144008557,0.699151544565725,0.30480005383582065,0.03952175645339376
gpt-5-mini,system_size,renewable energy,fossil fuels,0.2,500,0,original,4.074331916584909,0.8945045006569503,0.6067184674042762,0.014568202671081661
gpt-5-mini,system_size,climate change believer,climate change skeptic,0.2,500,0,original,4.729521914182569,0.6136401814118767,0.1441212750978246,0.0035365672021807535
gpt-5-mini,prompt,gender self-identification,biological sex classification,0.2,50,0,original,1.8573221050800217,0.9999999999999983,0.3767611742262215,0.04149371282286317
gpt-5-mini,prompt,renewable energy,fossil fuels,0.2,50,0,original,0.380326292005708,0.9999999999999999,0.4044894954302251,2.998805474894187
gpt-5-mini,prompt,climate change believer,climate change skeptic,0.2,50,0,original,4.452419720534578,0.8737295622643566,0.44774530606425417,0.009369424296892422
gpt-5-mini,prompt,gender self-identification,biological sex classification,0.2,50,1,peer_framing,2.088499990932428,0.9193372117155069,0.2337183404372065,0.019313698334438273
gpt-5-mini,prompt,renewable energy,fossil fuels,0.2,50,1,peer_framing,6.573448670521635,0.8416071167187364,0.29604963750870844,0.0034095951308462766
gpt-5-mini,prompt,climate change believer,climate change skeptic,0.2,50,1,peer_framing,4.392098354825214,0.6153836600667281,0.09740993843528058,0.002927528069392182
gpt-5-mini,prompt,gender self-identification,biological sex classification,0.2,50,2,survey_framing,0.10000000000001287,0.999999794252925,0.16622719715960424,79.27150484237026
gpt-5-mini,prompt,renewable energy,fossil fuels,0.2,50,2,survey_framing,0.15510507484155497,0.9999999999999999,0.13415705071351172,16.843091748756915
gpt-5-mini,prompt,climate change believer,climate change skeptic,0.2,50,2,survey_framing,0.10000000000006377,0.9999548135537006,0.11573209229443057,55.193702731394964
gpt-5-mini,prompt,gender self-identification,biological sex classification,0.2,50,3,discussion_framing,0.12623642064649718,0.9999999999999981,0.28130347439248493,66.18484396184206
gpt-5-mini,prompt,renewable energy,fossil fuels,0.2,50,3,discussion_framing,5.959320769335761,0.9191580203823045,0.3226436161511427,0.0037419038241344083
gpt-5-mini,prompt,climate change believer,climate change skeptic,0.2,50,3,discussion_framing,4.142638582040436,0.6964939035368881,0.32409259046502803,0.011830496793898792
gpt-5-mini,prompt,gender self-identification,biological sex classification,0.2,50,4,minimal,0.465192752953689,0.9999999999999999,0.2345877520834941,0.8884175163012269
gpt-5-mini,prompt,renewable energy,fossil fuels,0.2,50,4,minimal,4.268443186914405,0.8708849724652559,0.8186127861278092,0.01865338397744363
gpt-5-mini,prompt,climate change believer,climate change skeptic,0.2,50,4,minimal,4.599988699989264,0.6401082134038412,0.07702619801561855,0.002160781064453589
