Model,Size,Opinion_A,Opinion_B,beta,h,delta_P,MSE,R_squared,Filepath
Llama-3.1-8B-Instruct,50,pro-immigration,anti-immigration,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_pro-immigration.txt
Llama-3.1-8B-Instruct,50,summer,Unknown,1.6796656950876792,0.5496431484916471,9.999999999995779e-05,0.00399169401009473,0.9515741546046327,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_summer.txt
Llama-3.1-8B-Instruct,50,constitutional right to housing,housing as individual responsibility,2.5108101418476094,0.25555002470700744,9.999999999675014e-05,0.0005612456406280333,0.99621059057432,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_constitutional right to housing.txt
Llama-3.1-8B-Instruct,50,right to a job,employment not guaranteed by state,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_right to a job.txt
Llama-3.1-8B-Instruct,50,right to housing,housing as personal responsibility,9.233103820850841,0.8623235251572342,-9.999999999999999e-05,0.0008725710506912128,0.9827789960194357,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_right to housing.txt
Llama-3.1-8B-Instruct,50,science-based policy,faith-based policy,1.181329769109896,2.956979915377579,9.988489966122518e-05,8.325524266250408e-06,0.4796547333593505,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_science-based policy.txt
Llama-3.1-8B-Instruct,50,right to abortion,right of unborn child,1.9041628851728916,0.18809660039691686,-9.999999999775634e-05,0.00198647696150992,0.9844472345937764,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_right to abortion.txt
Llama-3.1-8B-Instruct,50,freedom from poverty,Unknown,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_freedom from poverty.txt
Llama-3.1-8B-Instruct,50,corporate constitutional rights,only individuals have rights,1.5672256551777923,0.12278082469013028,-9.999999999997739e-05,0.0026994721499635443,0.9764905538866663,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_corporate constitutional rights.txt
Llama-3.1-8B-Instruct,50,mandatory voting,voluntary voting,1.3997386619559111,0.14320484956948054,9.999999999999934e-05,0.0023324752644909657,0.9765806331128664,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_mandatory voting.txt
Llama-3.1-8B-Instruct,50,money as speech (Citizens United),limit money in politics,2.338742668971276,-0.6261206154854673,9.99999999999822e-05,0.0008063919558893457,0.9909235068672128,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_money as speech (Citizens United).txt
Llama-3.1-8B-Instruct,50,capitalism,socialism,1.7716120962191284,0.16349183874647616,9.999999999999999e-05,0.004478850530146761,0.9610480542497499,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_capitalism.txt
Llama-3.1-8B-Instruct,50,college for most,college not for everyone,2.7786491584901376,0.5061477816460812,-9.99999999999906e-05,0.0004934621912426344,0.9961080047066967,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_college for most.txt
Llama-3.1-8B-Instruct,50,qualified immunity for police,remove qualified immunity,0.6670718114649214,-0.24490802284783048,-9.999999999532768e-05,0.005566887313341299,0.8552137295289527,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_qualified immunity for police.txt
Llama-3.1-8B-Instruct,50,universal healthcare,private healthcare,2.332117441861048,0.48898693695643347,9.999999999998175e-05,0.0009114856963314411,0.9918594816750044,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_universal healthcare.txt
Llama-3.1-8B-Instruct,50,privacy over national security,national security over privacy,1.6374897096051892,0.2999798548687221,-9.999999999300141e-05,0.0011902313659065042,0.9881658510389506,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_privacy over national security.txt
Llama-3.1-8B-Instruct,50,drag shows for kids,ban on drag shows for kids,1.7210443027739086,0.5114099255317461,9.999999991871921e-05,0.0034838207478640032,0.9583494243715748,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_drag shows for kids.txt
Llama-3.1-8B-Instruct,50,constitutional right to abortion,state right to restrict abortion,3.139468434623848,0.40156409591998377,9.999999999999525e-05,0.0004996158662836198,0.9965686666143538,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_constitutional right to abortion.txt
Llama-3.1-8B-Instruct,50,healthcare as a right,healthcare as a market service,3.4648431265612363,0.7031951350127406,9.999999999999998e-05,0.00012660645256287037,0.9985607833149988,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_healthcare as a right.txt
Llama-3.1-8B-Instruct,50,rehabilitative justice,punitive justice,2.114472931716772,0.4284195280504835,-9.999999999987006e-05,0.0006916657872089655,0.9939340864967422,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_rehabilitative justice.txt
Llama-3.1-8B-Instruct,50,welfare programs,self-reliance,1.253992340341928,0.10875808134338527,9.999999999999996e-05,0.009117898906559138,0.9022984558467367,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_welfare programs.txt
Llama-3.1-8B-Instruct,50,marijuana legalization,marijuana criminalization,2.878608323646235,1.2534198586798853,9.999999999999999e-05,0.00010463880864050308,0.9421565458040336,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_marijuana legalization.txt
Llama-3.1-8B-Instruct,50,gender self-identification,biological sex classification,1.3371416823159492,1.1836371829481356,9.999999999999999e-05,0.00034409610223793633,0.9741398582051748,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_gender self-identification.txt
Llama-3.1-8B-Instruct,50,religious freedom for businesses,public accommodation over beliefs,1.7772414601919448,0.06713248761956461,-9.999999999981217e-05,0.0010662577982562022,0.991536561799465,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_religious freedom for businesses.txt
Llama-3.1-8B-Instruct,50,affirmative action constitutional,affirmative action unconstitutional,6.421875699427093,1.0490938794351654,-9.999999999922143e-05,1.0893479205846137e-05,0.995240943990456,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_affirmative action constitutional.txt
Llama-3.1-8B-Instruct,50,coffee,tea,2.161185324775086,-0.02372207925097212,-9.999999999998114e-05,0.000447283012349724,0.9968330807134886,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_coffee.txt
Llama-3.1-8B-Instruct,50,gun control,gun rights,2.5861751593153297,0.1000642377936389,-9.999999999999813e-05,0.00015255922447504044,0.9989718966737761,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_gun control.txt
Llama-3.1-8B-Instruct,50,multiculturalism,cultural assimilation,2.223766687984396,0.42162703214217406,9.999999999999595e-05,0.0007677595814146301,0.9935638694144923,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_multiculturalism.txt
Llama-3.1-8B-Instruct,50,minimum wage increase,free market wages,2.537620091195232,0.32848654634568303,-9.999999999973916e-05,0.0013308914154683289,0.9903892878721235,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_minimum wage increase.txt
Llama-3.1-8B-Instruct,50,big government,small government,1.227235619262967,-1.2145472447121008,-9.999999999999999e-05,0.0024077963496949855,0.842874161466002,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_big government.txt
Llama-3.1-8B-Instruct,50,pro-vaccine mandates,anti-vaccine mandates,42.6193543406889,0.9739087833679494,4.0538176980637756e-08,1.1837400482894892e-14,0.9999999986847333,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_pro-vaccine mandates.txt
Llama-3.1-8B-Instruct,50,liberal,conservative,0.6297763706254984,2.6419102373483074,9.999999999999999e-05,0.0034311255156397194,0.2730666280424322,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_liberal.txt
Llama-3.1-8B-Instruct,50,free higher education,pay-for-access higher education,1.7454386222345737,0.8902927554822667,9.999999999999976e-05,0.0009190194145535212,0.9743032263014897,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_free higher education.txt
Llama-3.1-8B-Instruct,50,union support,right-to-work,1.5713073256493968,-0.02607562947365171,-9.999999999999999e-05,0.006673512799914049,0.9390819377637948,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_union support.txt
Llama-3.1-8B-Instruct,50,gender as spectrum,Unknown,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_gender as spectrum.txt
Llama-3.1-8B-Instruct,50,constitutional right to a job,market determines employment,1.3992503323674412,0.05668212631483786,-9.999999999999999e-05,0.006981563481069608,0.9265168196584576,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_constitutional right to a job.txt
Llama-3.1-8B-Instruct,50,tax the rich,lower taxes,1.7627509934814305,0.05983186575832659,-9.999999999999999e-05,0.001007223032930982,0.9912244455902717,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_tax the rich.txt
Llama-3.1-8B-Instruct,50,veganism,meat-eating advocacy,3.974225500463282,0.45984198026952233,-9.999999999999899e-05,0.00020154064509122783,0.9987276795719097,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_veganism.txt
Llama-3.1-8B-Instruct,50,gun ownership as right,gun control for public safety,1.9769428354049898,-0.271260478564825,-9.999999999999986e-05,0.0006584027241692759,0.9946997470301376,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_gun ownership as right.txt
Llama-3.1-8B-Instruct,50,reparations for slavery,Unknown,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_reparations for slavery.txt
Llama-3.1-8B-Instruct,50,right to refuse service based on beliefs,mandatory equal service,1.7841815683587827,-0.004995146287328151,9.999999999988204e-05,0.00041976623419716754,0.9966476629648194,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_right to refuse service based on beliefs.txt
Llama-3.1-8B-Instruct,50,freedom of speech includes hate speech,hate speech can be restricted,0.7560971223155761,-0.9301729969498761,-9.999999999999838e-05,0.007607018333816948,0.7699374464292471,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_freedom of speech includes hate speech.txt
Llama-3.1-8B-Instruct,50,public education,school vouchers,2.6776311671454756,0.08102007062522507,9.999999999354499e-05,0.0007905077157317295,0.9946560235542895,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_public education.txt
Llama-3.1-8B-Instruct,50,digital privacy,national surveillance,1.015258121624028,1.957906620033453,9.999999999999999e-05,0.0005386959237952171,0.7318586740690805,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_digital privacy.txt
Llama-3.1-8B-Instruct,50,states’ rights on drug policy,federal supremacy on drugs,1.8716331154157038,-0.2537696029709943,9.999999998569226e-05,0.0008451494803119657,0.9930380780230653,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_states’ rights on drug policy.txt
Llama-3.1-8B-Instruct,50,feminist,Unknown,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_feminist.txt
Llama-3.1-8B-Instruct,50,voting as a duty,voting as a choice,-0.1628672698342453,-0.49637483443338487,-9.999999999999999e-05,0.007006464621459506,0.2615314595925401,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_voting as a duty.txt
Llama-3.1-8B-Instruct,50,mask mandates,personal choice,0.37247848870683115,1.5346185442565239,9.999999999717976e-05,0.004809786404315476,0.6070435944186703,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_mask mandates.txt
Llama-3.1-8B-Instruct,50,remote work future,office work necessary,1.036894299825888,1.2873784292454118,9.999999999999991e-05,0.002991421444002907,0.8053600465870969,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_remote work future.txt
Llama-3.1-8B-Instruct,50,vaccination choice,vaccination requirement,1.1257436067784596,1.074462439474133,-9.999999999999999e-05,0.0024094476472359986,0.8598832491721331,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_vaccination choice.txt
Llama-3.1-8B-Instruct,50,affirmative action,merit-based admissions,2.113732102417391,0.033585256399062416,-9.999999999999999e-05,0.009176500599648744,0.9218682100345789,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_affirmative action.txt
Llama-3.1-8B-Instruct,50,environmental regulation,deregulation,1.6086528618874185,0.05898342698292652,-9.999999999999999e-05,0.005787431979167703,0.9449780196686977,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_environmental regulation.txt
Llama-3.1-8B-Instruct,50,right to unionize gig workers,gig workers as independent contractors,2.863122876554765,0.49971804868249686,9.999999999999892e-05,0.0006310043427442023,0.995195678860796,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_right to unionize gig workers.txt
Llama-3.1-8B-Instruct,50,open borders,closed borders,3.3517282823742005,0.763665100787516,-9.999999999976197e-05,0.000983551866429611,0.9857753114307878,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_open borders.txt
Llama-3.1-8B-Instruct,50,freedom of speech,regulated speech,2.242336451578957,1.080295570238715,-9.999999999995871e-05,0.003624023075268765,0.7063190376605538,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_freedom of speech.txt
Llama-3.1-8B-Instruct,50,freedom to homeschool,mandatory public education,2.4244594514311464,0.28179430624048174,-9.999999999999904e-05,0.0007363719048564881,0.9947395994909669,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_freedom to homeschool.txt
Llama-3.1-8B-Instruct,50,pornography acceptable,pornography harmful,9.893108014935686,0.9966200336191712,4.674806427661638e-05,1.3380527434045775e-08,0.9999953539835299,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_pornography acceptable.txt
Llama-3.1-8B-Instruct,50,nuclear power essential,nuclear power dangerous,50.18719594417069,0.9546313223251103,2.018628852927267e-08,2.93448287086458e-15,0.9999999999637719,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_nuclear power essential.txt
Llama-3.1-8B-Instruct,50,secularism,religious influence,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_secularism.txt
Llama-3.1-8B-Instruct,50,legal sex work,ban on sex work,1.181329769109896,2.956979915377579,9.988489966122518e-05,8.325524266250408e-06,0.4796547333593505,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_legal sex work.txt
Llama-3.1-8B-Instruct,50,right to die (euthanasia),preserve life at all costs,0.5280794199761907,2.4118002431132504,9.99999999999858e-05,0.003715436602607568,0.43439844685529494,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_right to die (euthanasia).txt
Llama-3.1-8B-Instruct,50,unrestricted gun ownership,restrict gun rights for public safety,1.368883814773188,-0.3818545213316156,-9.999999999999949e-05,0.007006835291578717,0.919457960232899,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_unrestricted gun ownership.txt
Llama-3.1-8B-Instruct,50,internet access as a right,internet as a private service,3.4659423466494927,0.49736428945428474,9.999999995919653e-05,0.0004994810090219724,0.9965293573402403,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_internet access as a right.txt
Llama-3.1-8B-Instruct,50,climate change believer,climate change skeptic,1.417537161170576,1.9970369675006618,9.999999999999999e-05,0.00011248639911159479,0.6875377802455707,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_climate change believer.txt
Llama-3.1-8B-Instruct,50,renewable energy,fossil fuels,1.5399354163105146,0.8418012401734312,9.999999999999765e-05,0.0018676236840057445,0.954970978782772,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_renewable energy.txt
Llama-3.1-8B-Instruct,50,animal rights,animal use for industry,3.1617226889023238,0.8591495609821361,9.999999999806053e-05,9.722712212048272e-05,0.9976111859138478,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_animal rights.txt
Llama-3.1-8B-Instruct,50,pro-UN,anti-UN,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_pro-UN.txt
Llama-3.1-8B-Instruct,50,mandatory military service,voluntary military service,3.166952504025414,-0.3869281752435614,9.999999999999674e-05,0.00024975022536845944,0.9984062802687245,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_mandatory military service.txt
Llama-3.1-8B-Instruct,50,morning person,night owl,1.337201313426838,0.7586698026904214,9.999999999999995e-05,0.004135410281672985,0.9179221522373574,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_morning person.txt
Llama-3.1-8B-Instruct,50,property rights above all,social good can override property,1.9147135416874226,-0.21160697445494706,-9.999999999999999e-05,0.000690236666232561,0.9944934808715462,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_property rights above all.txt
Llama-3.1-8B-Instruct,50,freedom of religion,freedom from religion in public,3.394572699158084,0.4036335904047523,9.999999999999999e-05,0.00017495472998999662,0.9988910351538374,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_freedom of religion.txt
Llama-3.1-8B-Instruct,50,Supreme Court lifetime appointments,term limits for justices,2.0465633588309062,-0.2287900306235359,-9.999999999999457e-05,0.0007289077147677518,0.9943073653215476,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_Supreme Court lifetime appointments.txt
Llama-3.1-8B-Instruct,50,emergency powers for public health,individual freedom during emergencies,2.230792934649234,-0.01905146344684691,-9.999999999999786e-05,0.0008636173183345907,0.9938175710447166,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_emergency powers for public health.txt
Llama-3.1-8B-Instruct,50,AI development freedom,AI strict regulation,3.5997084462928677,0.8369870081275311,9.999999999996974e-05,0.00026164003875956375,0.9944727049442377,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_AI development freedom.txt
Llama-3.1-8B-Instruct,50,corporate regulation,corporate freedom,1.730577564218705,-0.023773506225776002,9.999999999999995e-05,0.0031952384972321925,0.971582976874697,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_corporate regulation.txt
Llama-3.1-8B-Instruct,50,freedom to protest,public order over protest,6.092518467869102,0.9896067355162824,-9.293419493220893e-05,1.9277334311985408e-07,0.9999765482550949,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_freedom to protest.txt
Llama-3.1-8B-Instruct,50,free speech absolutism,hate speech regulation,1.6333714183656471,-0.052472662006052294,-9.999999999999999e-05,0.003933436219488289,0.9648263310993723,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_free speech absolutism.txt
Llama-3.1-8B-Instruct,50,progressive,traditionalist,0.9256585405634201,1.353668369330417,9.999999999999999e-05,0.009864558505167337,0.5458515489541302,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_progressive.txt
Llama-3.1-8B-Instruct,50,free speech protection,regulated speech to prevent harm,2.7094316771032148,0.40344970150976706,-9.999999999989472e-05,0.00799795501269744,0.9381082993793969,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_free speech protection.txt
Llama-3.1-8B-Instruct,50,meat consumption moral,meat consumption immoral,6.700427872529039,0.9941031480918385,9.999998457009611e-05,2.5782788411757358e-06,0.9996107670831559,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_meat consumption moral.txt
Llama-3.1-8B-Instruct,50,abortion rights,Unknown,0.3680686308900298,16.682770411733625,1.2917028475821159e-06,1.9893650829814597e-11,0.0,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_abortion rights.txt
Llama-3.1-8B-Instruct,50,constitutional right to healthcare,Unknown,51.05425051105378,0.9581640835093629,-9.999999999999999e-05,9.809002064181756e-06,0.7607560472150796,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_constitutional right to healthcare.txt
Qwen2.5-14B-Instruct,50,cancel culture necessary,cancel culture harmful,2.9602892851854246,0.10022910487080769,-9.999999999995421e-05,0.001181692827717658,0.9934062544716151,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_cancel culture necessary.txt
Qwen2.5-14B-Instruct,50,net neutrality,market-driven internet,2.630022545494432,0.392059142768928,9.999999999205912e-05,0.0003664648279098341,0.9976717904676956,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_net neutrality.txt
Qwen2.5-14B-Instruct,50,cats,dogs,1.4542317999452903,-0.10516549686754517,9.999999999999999e-05,0.0018388032742874798,0.9843942545561358,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_cats.txt
Qwen2.5-14B-Instruct,50,universal basic income,income based on work only,2.716911692131483,0.32232238495252485,-9.999999999999727e-05,0.0006074266329424602,0.9963896215554205,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_universal basic income.txt
Qwen2.5-14B-Instruct,50,Israel support,Palestine support,2.4858705012334057,-0.2633184029039794,9.999999999999996e-05,0.0008912921658408105,0.9942744740226587,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_Israel support.txt
Qwen2.5-14B-Instruct,50,federal voting rights protections,state control of elections,2.1233278175445967,0.2506560789596221,-9.999999999988318e-05,0.0011654187436517757,0.9922442902029812,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_federal voting rights protections.txt
Qwen2.5-14B-Instruct,50,right to unionize,freedom to avoid unions,2.0944080882465843,0.26431857734341907,-9.999999999823274e-05,0.0011718642584994737,0.9921519343686924,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_right to unionize.txt
Qwen2.5-14B-Instruct,50,globalism,nationalism,2.447935783733373,0.3095999532677876,-9.999999992863446e-05,0.0007141362598657846,0.9954748486326245,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_globalism.txt
Qwen2.5-14B-Instruct,50,free public transport,user-funded transport,2.5147470127628853,0.1583378677370419,9.999999999999999e-05,0.00022409881820059226,0.9986441003196164,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_free public transport.txt
Qwen2.5-14B-Instruct,50,LGBTQ+ rights,traditional family values,2.129702856299081,0.24883927482331328,-9.999999999999006e-05,0.0004580097091275504,0.9969933556146742,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_LGBTQ+ rights.txt
Qwen2.5-14B-Instruct,50,electoral college protects democracy,electoral college undermines democracy,3.371280838338028,0.2689454973980653,9.999999999923819e-05,9.848556880473415e-05,0.9994589137679374,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_electoral college protects democracy.txt
Qwen2.5-14B-Instruct,50,pro-immigration,anti-immigration,5.00388186938201,0.7539571580917839,-9.999999999999999e-05,0.001012456047519042,0.9918213159704163,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_pro-immigration.txt
Qwen2.5-14B-Instruct,50,summer,Unknown,0.7816197192798714,1.4639594541863565,-9.999999987365828e-05,0.009622186320704045,0.5363193480497999,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_summer.txt
Qwen2.5-14B-Instruct,50,constitutional right to housing,housing as individual responsibility,2.484414076669543,0.6603898330666949,-9.999999999989657e-05,0.0030336954273678923,0.972953626321018,Qwen2.5-14B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_constitutional right to housing.txt
