Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate,Model,Opinion_B_fit,beta,h,p0_fit,classification,diff,abs_diff
reparations for slavery,no reparations,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,no reparations,0.1760933682455628,67.49147007120324,1.0000000000048082,monostable (beta<=1),-4.808153875046628e-12,4.808153875046628e-12
progressive,traditionalist,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,traditionalist,1.7083416265825382,1.2329219702074234,0.9855068713836598,monostable,0.014493128616340223,0.014493128616340223
pro-immigration,anti-immigration,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,anti-immigration,0.1760933682455628,67.49147007120324,1.0000000000048082,monostable (beta<=1),-4.808153875046628e-12,4.808153875046628e-12
pro-EU,euroskeptic,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,euroskeptic,0.2097118786741318,-2.781234608736055,0.2373853344966915,monostable (beta<=1),-0.2373853344966915,0.2373853344966915
pro-vaccine mandates,anti-vaccine mandates,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,anti-vaccine mandates,70.23082308271059,0.9527144097350262,1.0000000000536928,metastable,-5.3692827961526746e-11,5.3692827961526746e-11
defund the police,support the police,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,support the police,3.724169472277986,-0.13372456090919,0.2698235028533114,metastable,-0.2698235028533114,0.2698235028533114
LGBTQ+ rights,traditional family values,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,traditional family values,3.56979469296718,0.7839632223771219,0.9964053777614694,monostable,0.003594622238530576,0.003594622238530576
secularism,religious influence,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,religious influence,0.1760933682455628,67.49147007120324,1.0000000000048082,monostable (beta<=1),-4.808153875046628e-12,4.808153875046628e-12
public education,school vouchers,47,53,0,100,100,0.47,0.0,Llama-3.1-8B-Instruct,school vouchers,3.2427471130619514,0.0745443977646488,0.6186639236645611,metastable,-0.14866392366456116,0.14866392366456116
minimum wage increase,free market wages,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,free market wages,2.8930724356499065,0.3397856600023432,0.8772861091472502,metastable,0.12271389085274975,0.12271389085274975
environmental regulation,deregulation,76,24,0,100,100,0.76,0.0,Llama-3.1-8B-Instruct,deregulation,1.7061157446441966,0.0487285347208277,0.5413727553297756,metastable,0.21862724467022443,0.21862724467022443
renewable energy,fossil fuels,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,fossil fuels,3.2435976988606825,0.8339202559767255,0.9956473960336668,monostable,0.004352603966333191,0.004352603966333191
multiculturalism,cultural assimilation,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,cultural assimilation,2.6353932832356097,0.4508011373809981,0.9150847369900448,monostable,0.08491526300995522,0.08491526300995522
welfare programs,self-reliance,45,55,0,100,100,0.45,0.0,Llama-3.1-8B-Instruct,self-reliance,3.1104133033027628,0.0310455264621384,0.5482326947418404,metastable,-0.09823269474184043,0.09823269474184043
union support,right-to-work,92,8,0,100,100,0.92,0.0,Llama-3.1-8B-Instruct,right-to-work,3.0413750398570274,-0.0295789840331841,0.4550405578513442,metastable,0.46495944214865587,0.46495944214865587
pro-UN,anti-UN,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,anti-UN,0.1760933682455628,67.49147007120324,1.0000000000048082,monostable (beta<=1),-4.808153875046628e-12,4.808153875046628e-12
rehabilitative justice,punitive justice,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,punitive justice,2.4807326445711406,0.4327313783377507,0.8954863923655456,monostable,0.10451360763445439,0.10451360763445439
marijuana legalization,marijuana criminalization,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,marijuana criminalization,8.060652933304874,1.0377740823904775,1.0000983515672228,monostable,-9.835156722282079e-05,9.835156722282079e-05
net neutrality,market-driven internet,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,market-driven internet,2.3677204396208253,0.7314995797848053,0.9697451247013946,monostable,0.030254875298605377,0.030254875298605377
science-based policy,faith-based policy,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,faith-based policy,60.82021442824848,0.95778565813893,0.9999873902276786,monostable,1.2609772321425794e-05,1.2609772321425794e-05
mask mandates,personal choice,11,89,0,100,100,0.11,0.0,Llama-3.1-8B-Instruct,personal choice,0.4168626841929014,1.4790899766901204,0.7744702672630008,monostable (beta<=1),-0.6644702672630008,0.6644702672630008
corporate regulation,corporate freedom,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,corporate freedom,1.970902467819856,-0.0175255056063464,0.4828363340028449,metastable,0.517163665997155,0.517163665997155
animal rights,animal use for industry,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,animal use for industry,4.233136225041905,0.8530763716671028,0.9993704676035688,monostable,0.0006295323964311539,0.0006295323964311539
digital privacy,national surveillance,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,national surveillance,3.154666302980341,1.2770885753545214,0.9997834069087332,monostable,0.00021659309126675907,0.00021659309126675907
anti-censorship,content moderation,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,content moderation,1.464142594770951,0.1371941269223098,0.5992064897485836,monostable,-0.5992064897485836,0.5992064897485836
veganism,meat-eating advocacy,50,50,0,100,100,0.5,0.0,Llama-3.1-8B-Instruct,meat-eating advocacy,4.699529693677166,0.4768734510047177,0.9889175238597876,metastable,-0.4889175238597876,0.4889175238597876
Israel support,Palestine support,12,0,88,12,100,1.0,0.88,Llama-3.1-8B-Instruct,Palestine support,1.4037953161106216,0.9874264926127044,0.9412598953018304,monostable,0.05874010469816959,0.05874010469816959
free speech absolutism,hate speech regulation,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,hate speech regulation,3.625444994498809,-0.0286167887442444,0.4482110263859018,metastable,0.5517889736140982,0.5517889736140982
gender self-identification,biological sex classification,56,44,0,100,100,0.56,0.0,Llama-3.1-8B-Instruct,biological sex classification,1.934036120837296,1.0619491848749767,0.9839204635670816,monostable,-0.4239204635670816,0.4239204635670816
AI development freedom,AI strict regulation,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,AI strict regulation,5.070827497311152,0.8374690366757436,0.9998952102775358,monostable,0.0001047897224641936,0.0001047897224641936
drag shows for kids,ban on drag shows for kids,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,ban on drag shows for kids,1.806081550667021,0.5107385726441165,0.8634237773170735,monostable,0.13657622268292646,0.13657622268292646
nuclear power essential,nuclear power dangerous,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,nuclear power dangerous,74.69374807070305,0.943269006963006,1.0000000000563274,metastable,-5.632738719896224e-11,5.632738719896224e-11
religious schools public funding,strict church-state separation,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,strict church-state separation,1.686141098927255,-0.1592465914760616,0.3687800431589468,metastable,-0.3687800431589468,0.3687800431589468
mandatory military service,voluntary military service,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,voluntary military service,4.981847496513104,-0.3054538043591948,0.0456011628941056,metastable,-0.0456011628941056,0.0456011628941056
statues of controversial figures,removal of controversial statues,0,97,3,97,100,0.0,0.03,Llama-3.1-8B-Instruct,removal of controversial statues,4.20747826022263,-1.2219448270068718,3.4257393702485334e-06,monostable,-3.4257393702485334e-06,3.4257393702485334e-06
meat consumption moral,meat consumption immoral,45,19,36,64,100,0.703125,0.36,Llama-3.1-8B-Instruct,meat consumption immoral,9.535561083805003,0.96924271927121,1.000099990618689,monostable,-0.2969749906186889,0.2969749906186889
remote work future,office work necessary,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,office work necessary,2.3902713042354398,1.0720229760926014,0.9941880585597448,monostable,0.005811941440255208,0.005811941440255208
college for most,college not for everyone,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,college not for everyone,4.050356990307725,0.5562908082971518,0.9891818735583412,monostable,0.010818126441658804,0.010818126441658804
freedom to homeschool,mandatory public education,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,mandatory public education,3.4362772286843564,0.2665305800986489,0.8620695849865939,metastable,0.13793041501340608,0.13793041501340608
legal sex work,ban on sex work,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,ban on sex work,60.82021442824848,0.95778565813893,0.9999873902276786,monostable,1.2609772321425794e-05,1.2609772321425794e-05
pornography acceptable,pornography harmful,31,23,46,54,100,0.5740740740740741,0.46,Llama-3.1-8B-Instruct,pornography harmful,10.399125826480269,0.9925123479244056,1.0000343534268703,monostable,-0.42596027935279623,0.42596027935279623
mandatory voting,voluntary voting,48,52,0,100,100,0.48,0.0,Llama-3.1-8B-Instruct,voluntary voting,2.721120849186182,0.1218630282009095,0.6600806645665537,metastable,-0.1800806645665537,0.1800806645665537
vaccination choice,vaccination requirement,70,30,0,100,100,0.7,0.0,Llama-3.1-8B-Instruct,vaccination requirement,1.075119723028246,1.1182722669485867,0.9170738448888162,monostable,-0.2170738448888162,0.2170738448888162
smartphone use for kids,restricted smartphone access,7,93,0,100,100,0.07,0.0,Llama-3.1-8B-Instruct,restricted smartphone access,1.729900187252236,0.7078804534343569,0.9203974444439158,monostable,-0.8503974444439157,0.8503974444439157
pizza,pasta,53,47,0,100,100,0.53,0.0,Llama-3.1-8B-Instruct,pasta,0.7113218132845543,-0.2111519059102593,0.4255611906616435,monostable (beta<=1),0.10443880933835653,0.10443880933835653
coffee,tea,45,55,0,100,100,0.45,0.0,Llama-3.1-8B-Instruct,tea,3.1197476819103644,-0.0363110945168299,0.443500320538989,metastable,0.006499679461010988,0.006499679461010988
cats,dogs,52,48,0,100,100,0.52,0.0,Llama-3.1-8B-Instruct,dogs,4.625774585099,0.120137319747279,0.7523005149544242,metastable,-0.23230051495442416,0.23230051495442416
morning person,night owl,82,18,0,100,100,0.82,0.0,Llama-3.1-8B-Instruct,night owl,2.935451321370698,0.7784042579086147,0.9898475744112084,monostable,-0.16984757441120846,0.16984757441120846
sweet,salty,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,salty,1.984600791717648,1.960459441816224,0.99968277129634,monostable,0.00031722870366002187,0.00031722870366002187
city life,country life,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,country life,3.4316097042203424,0.0628106155631001,0.6062322577013203,metastable,0.3937677422986797,0.3937677422986797
constitutional right to housing,housing as individual responsibility,63,0,37,63,100,1.0,0.37,Llama-3.1-8B-Instruct,housing as individual responsibility,4.319025632113654,0.1938087913832321,0.8420257175079933,metastable,0.15797428249200673,0.15797428249200673
constitutional right to a job,market determines employment,3,55,42,58,100,0.0517241379310344,0.42,Llama-3.1-8B-Instruct,market determines employment,1.620405165736968,0.0343558115319253,0.5277064473876028,metastable,-0.47598230945656833,0.47598230945656833
affirmative action constitutional,affirmative action unconstitutional,98,0,2,98,100,1.0,0.02,Llama-3.1-8B-Instruct,affirmative action unconstitutional,8.942783923068507,1.010192787770266,1.000072723695013,monostable,-7.272369501309939e-05,7.272369501309939e-05
money as speech (Citizens United),limit money in politics,21,76,3,97,100,0.2164948453608247,0.03,Llama-3.1-8B-Instruct,limit money in politics,2.635882214418292,-0.6226352112828182,0.03608041553342,monostable,0.1804144298274047,0.1804144298274047
corporate constitutional rights,only individuals have rights,0,0,100,0,100,,1.0,Llama-3.1-8B-Instruct,only individuals have rights,1.8417812317763855,0.1024515008352681,0.5931426048652779,metastable,,
unrestricted gun ownership,restrict gun rights for public safety,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,restrict gun rights for public safety,2.9749732856985176,-0.3364883942460574,0.1188838730550275,metastable,-0.1188838730550275,0.1188838730550275
constitutional right to abortion,state right to restrict abortion,89,11,0,100,100,0.89,0.0,Llama-3.1-8B-Instruct,state right to restrict abortion,3.293471673745739,0.4040479094017641,0.9348126395818452,metastable,-0.044812639581845226,0.044812639581845226
religious freedom for businesses,public accommodation over beliefs,0,48,52,48,100,0.0,0.52,Llama-3.1-8B-Instruct,public accommodation over beliefs,2.0594250778831245,0.0515540233454362,0.5527872510333617,metastable,-0.5527872510333617,0.5527872510333617
right to refuse service based on beliefs,mandatory equal service,50,50,0,100,100,0.5,0.0,Llama-3.1-8B-Instruct,mandatory equal service,2.033158624074884,-0.0038302757073162,0.4962062996687537,metastable,0.003793700331246319,0.003793700331246319
freedom of speech includes hate speech,hate speech can be restricted,54,46,0,100,100,0.54,0.0,Llama-3.1-8B-Instruct,hate speech can be restricted,1.5921652891497442,-0.8511230060804339,0.0622708193215026,monostable,0.47772918067849746,0.47772918067849746
qualified immunity for police,remove qualified immunity,0,57,43,57,100,0.0,0.43,Llama-3.1-8B-Instruct,remove qualified immunity,0.7475095505318955,-0.2510085938938706,0.407169996325222,monostable (beta<=1),-0.407169996325222,0.407169996325222
privacy over government surveillance,surveillance justified for safety,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,surveillance justified for safety,2.752535426220949,0.0970447897237417,0.6305711178704814,metastable,0.36942888212951863,0.36942888212951863
states’ rights on drug policy,federal supremacy on drugs,0,85,15,85,100,0.0,0.15,Llama-3.1-8B-Instruct,federal supremacy on drugs,2.5330548564818467,-0.2467372897623929,0.2226004538388594,metastable,-0.2226004538388594,0.2226004538388594
federal voting rights protections,state control of elections,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,state control of elections,2.2524918583581384,0.8862459307398507,0.9819812575843372,monostable,0.018018742415662814,0.018018742415662814
electoral college protects democracy,electoral college undermines democracy,79,21,0,100,100,0.79,0.0,Llama-3.1-8B-Instruct,electoral college undermines democracy,3.1160822686944245,0.7108566874685953,0.9881278397930392,monostable,-0.19812783979303916,0.19812783979303916
Supreme Court lifetime appointments,term limits for justices,40,60,0,100,100,0.4,0.0,Llama-3.1-8B-Instruct,term limits for justices,2.916362095149505,-0.225196816219909,0.2117999336250223,metastable,0.18820006637497771,0.18820006637497771
emergency powers for public health,individual freedom during emergencies,25,75,0,100,100,0.25,0.0,Llama-3.1-8B-Instruct,individual freedom during emergencies,3.160979011825812,-0.0289932133758095,0.4542043938617649,metastable,-0.20420439386176492,0.20420439386176492
right to die (euthanasia),preserve life at all costs,58,42,0,100,100,0.58,0.0,Llama-3.1-8B-Instruct,preserve life at all costs,1.5053685909129335,1.5039372505941249,0.9894127577344504,monostable,-0.4094127577344504,0.4094127577344504
right to unionize gig workers,gig workers as independent contractors,40,0,60,40,100,1.0,0.6,Llama-3.1-8B-Instruct,gig workers as independent contractors,4.108044160571552,0.5448738407613662,0.9888573191934332,metastable,0.011142680806566774,0.011142680806566774
right to housing,housing as personal responsibility,73,0,27,73,100,1.0,0.27,Llama-3.1-8B-Instruct,housing as personal responsibility,8.657398527097387,0.8616182093528268,0.9999675621265652,monostable,3.243787343476523e-05,3.243787343476523e-05
right to a job,employment not guaranteed by state,0,0,100,0,100,,1.0,Llama-3.1-8B-Instruct,employment not guaranteed by state,0.1760933682455628,67.49147007120324,1.0000000000048082,monostable (beta<=1),,
universal basic income,income based on work only,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,income based on work only,5.532205904036762,0.7872795477151306,0.9999352283380124,monostable,6.477166198759488e-05,6.477166198759488e-05
healthcare as a right,healthcare as a market service,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,healthcare as a market service,5.720614755061882,0.7376870459556606,0.999884006623722,monostable,0.00011599337627798967,0.00011599337627798967
free higher education,pay-for-access higher education,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,pay-for-access higher education,3.226341137957744,0.8636381414583155,0.99631449212168,monostable,0.0036855078783200046,0.0036855078783200046
internet access as a right,internet as a private service,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,internet as a private service,3.9094149822914326,0.5019892277543844,0.980684996728507,metastable,0.019315003271493048,0.019315003271493048
privacy over national security,national security over privacy,43,57,0,100,100,0.43,0.0,Llama-3.1-8B-Instruct,national security over privacy,1.674364201744628,0.2878642491581384,0.7238177969899489,monostable,-0.29381779698994887,0.29381779698994887
free public transport,user-funded transport,57,43,0,100,100,0.57,0.0,Llama-3.1-8B-Instruct,user-funded transport,3.174676515693064,0.3549071976332912,0.905046083343987,metastable,-0.335046083343987,0.335046083343987
right to unionize,freedom to avoid unions,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,freedom to avoid unions,7.54109226709072,1.0975910890706693,1.0000616903595825,monostable,-6.169035958247804e-05,6.169035958247804e-05
right to abortion,right of unborn child,70,0,30,70,100,1.0,0.3,Llama-3.1-8B-Instruct,right of unborn child,2.096034069435666,0.1795350067382498,0.679649964913547,metastable,0.320350035086453,0.320350035086453
gun ownership as right,gun control for public safety,17,45,38,62,100,0.2741935483870967,0.38,Llama-3.1-8B-Instruct,gun control for public safety,2.168458346075305,-0.2721876087123729,0.2348703988321485,metastable,0.0393231495549482,0.0393231495549482
freedom of religion,freedom from religion in public,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,freedom from religion in public,3.696055933041764,0.41629555657169,0.9560467602049036,metastable,0.043953239795096355,0.043953239795096355
free speech protection,regulated speech to prevent harm,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,regulated speech to prevent harm,2.9251882918955574,0.3768401443637275,0.9005669104084695,metastable,0.09943308959153052,0.09943308959153052
freedom to protest,public order over protest,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,public order over protest,5.99361078934735,0.9911244211576308,1.000005953083905,monostable,-5.953083904941536e-06,5.953083904941536e-06
voting as a duty,voting as a choice,53,47,0,100,100,0.53,0.0,Llama-3.1-8B-Instruct,voting as a choice,-0.1729351453457132,0.4980187338011815,0.4569436860262682,monostable (beta<=1),0.0730563139737318,0.0730563139737318
corporate personhood,only humans have rights,0,33,67,33,100,0.0,0.67,Llama-3.1-8B-Instruct,only humans have rights,0.652675821526408,0.3641365559693823,0.6167436314694722,monostable (beta<=1),-0.6167436314694722,0.6167436314694722
property rights above all,social good can override property,53,0,47,53,100,1.0,0.47,Llama-3.1-8B-Instruct,social good can override property,3.681774834568082,-0.1872463150919533,0.2011021892807736,metastable,0.7988978107192264,0.7988978107192264
right to die,preservation of life at all costs,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,preservation of life at all costs,1.5386859470537533,1.3212659408153526,0.983243631232939,monostable,0.016756368767060992,0.016756368767060992
liberal,conservative,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,conservative,4.185364326448142,0.2850967450888977,0.9156895443243938,metastable,0.08431045567560624,0.08431045567560624
pro-life,pro-choice,0,100,0,100,100,0.0,0.0,Qwen2.5-14B-Instruct,pro-choice,3.8833198641460314,-0.1854575002130871,0.1915862642641661,metastable,-0.1915862642641661,0.1915862642641661
capitalism,socialism,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,socialism,3.098269210356922,-0.0276049542855987,0.4574401777473349,metastable,0.5425598222526651,0.5425598222526651
globalism,nationalism,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,nationalism,3.951953306485658,0.2356081655101865,0.8654560719045887,metastable,0.13454392809541127,0.13454392809541127
climate change believer,climate change skeptic,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,climate change skeptic,17.925194894787868,0.8043905627736656,0.9998999999997008,metastable,0.00010000000029919409,0.00010000000029919409
gun control,gun rights,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,gun rights,3.5129253198709094,0.0574321383490044,0.5996305926425133,metastable,0.4003694073574867,0.4003694073574867
open borders,closed borders,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,closed borders,8.846124719673613,0.8464601056633383,0.99994473921548,monostable,5.5260784520005934e-05,5.5260784520005934e-05
universal healthcare,private healthcare,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,private healthcare,7.977293035184812,0.5971460786829134,0.9998271633538496,metastable,0.0001728366461504205,0.0001728366461504205
tax the rich,lower taxes,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,lower taxes,3.204231381267048,-0.0791816559498886,0.3758955546449368,metastable,0.6241044453550633,0.6241044453550633
big government,small government,0,100,0,100,100,0.0,0.0,Qwen2.5-14B-Instruct,small government,4.014715447149708,-0.2601645731927029,0.1102731708346319,metastable,-0.1102731708346319,0.1102731708346319
affirmative action,merit-based admissions,1,99,0,100,100,0.01,0.0,Qwen2.5-14B-Instruct,merit-based admissions,3.893268039609063,-0.0036990767870399,0.4926997490624524,metastable,-0.4826997490624524,0.4826997490624524
freedom of speech,regulated speech,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,regulated speech,4.135458501597288,0.2728133961308963,0.9051026131663144,metastable,0.09489738683368565,0.09489738683368565
reparations for slavery,no reparations,22,78,0,100,100,0.22,0.0,Qwen2.5-14B-Instruct,no reparations,8.142234648297627,0.5880271000856604,0.99983061075326,metastable,-0.77983061075326,0.77983061075326
progressive,traditionalist,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,traditionalist,8.528162024376655,0.6283140119751625,0.999877829535068,metastable,0.00012217046493201433,0.00012217046493201433
pro-immigration,anti-immigration,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,anti-immigration,16.606225974012773,0.7934372914257729,0.9998999999964068,metastable,0.0001000000035932258,0.0001000000035932258
pro-EU,euroskeptic,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,euroskeptic,8.698891152343712,0.6388501822782445,0.9998851065835273,metastable,0.00011489341647274998,0.00011489341647274998
pro-vaccine mandates,anti-vaccine mandates,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,anti-vaccine mandates,17.33099322220886,0.8101304782278151,0.9998999999993622,metastable,0.00010000000063781211,0.00010000000063781211
defund the police,support the police,0,51,49,51,100,0.0,0.49,Qwen2.5-14B-Instruct,support the police,2.142757510268563,0.3939287077970492,0.8440856358321214,monostable,-0.8440856358321214,0.8440856358321214
LGBTQ+ rights,traditional family values,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,traditional family values,3.6849439765763674,0.1817385418143989,0.7922900517828841,metastable,0.20770994821711586,0.20770994821711586
secularism,religious influence,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,religious influence,4.009377211852676,0.2608441480895462,0.8899884771978899,metastable,0.11001152280211013,0.11001152280211013
public education,school vouchers,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,school vouchers,3.96414818563005,0.2519299179834662,0.8804211999432382,metastable,0.1195788000567618,0.1195788000567618
minimum wage increase,free market wages,58,42,0,100,100,0.58,0.0,Qwen2.5-14B-Instruct,free market wages,3.752455883533716,0.0099025975679788,0.5184709834613246,metastable,0.061529016538675374,0.061529016538675374
environmental regulation,deregulation,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,deregulation,4.009339689250331,0.2883688722160538,0.9097936863915956,metastable,0.09020631360840436,0.09020631360840436
renewable energy,fossil fuels,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,fossil fuels,4.836935417902795,0.7972395073552068,0.9994529495784096,monostable,0.0005470504215904226,0.0005470504215904226
multiculturalism,cultural assimilation,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,cultural assimilation,5.01893588648516,0.4039731500066882,0.982860431688616,metastable,0.017139568311383968,0.017139568311383968
welfare programs,self-reliance,0,100,0,100,100,0.0,0.0,Qwen2.5-14B-Instruct,self-reliance,3.0916775630598203,-0.0201564533588671,0.4689816443660399,metastable,-0.4689816443660399,0.4689816443660399
union support,right-to-work,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,right-to-work,3.694778908532297,0.2105805299708348,0.8256925845189624,metastable,0.17430741548103756,0.17430741548103756
pro-UN,anti-UN,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,anti-UN,8.936181198341078,0.6554374505074517,0.9998918233156078,metastable,0.00010817668439222494,0.00010817668439222494
rehabilitative justice,punitive justice,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,punitive justice,8.282454540952527,0.6369847920173319,0.9998738489526784,metastable,0.00012615104732160987,0.00012615104732160987
marijuana legalization,marijuana criminalization,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,marijuana criminalization,9.61187497309513,0.5535273869075883,0.9998760824005692,metastable,0.0001239175994307562,0.0001239175994307562
net neutrality,market-driven internet,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,market-driven internet,4.300599907397646,0.2987451385055661,0.928777070881299,metastable,0.07122292911870098,0.07122292911870098
science-based policy,faith-based policy,100,0,0,100,100,1.0,0.0,Qwen2.5-14B-Instruct,faith-based policy,8.814442110202092,0.6532004206512222,0.9998900227650552,metastable,0.00010997723494476919,0.00010997723494476919
mask mandates,personal choice,0,100,0,100,100,0.0,0.0,Qwen2.5-14B-Instruct,personal choice,17.474708122322586,0.8210487385582955,0.999899999999655,metastable,-0.999899999999655,0.999899999999655
