Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate
emergency powers for public health,individual freedom during emergencies,25,75,0,100,100,0.25,0.0
right to die (euthanasia),preserve life at all costs,58,42,0,100,100,0.58,0.0
right to unionize gig workers,gig workers as independent contractors,40,0,60,40,100,1.0,0.6
right to housing,housing as personal responsibility,73,0,27,73,100,1.0,0.27
right to a job,employment not guaranteed by state,0,0,100,0,100,,1.0
universal basic income,income based on work only,100,0,0,100,100,1.0,0.0
healthcare as a right,healthcare as a market service,100,0,0,100,100,1.0,0.0
free higher education,pay-for-access higher education,100,0,0,100,100,1.0,0.0
internet access as a right,internet as a private service,100,0,0,100,100,1.0,0.0
privacy over national security,national security over privacy,43,57,0,100,100,0.43,0.0
free public transport,user-funded transport,57,43,0,100,100,0.57,0.0
right to unionize,freedom to avoid unions,100,0,0,100,100,1.0,0.0
right to abortion,right of unborn child,70,0,30,70,100,1.0,0.3
gun ownership as right,gun control for public safety,17,45,38,62,100,0.27419354838709675,0.38
freedom of religion,freedom from religion in public,100,0,0,100,100,1.0,0.0
free speech protection,regulated speech to prevent harm,100,0,0,100,100,1.0,0.0
freedom to protest,public order over protest,100,0,0,100,100,1.0,0.0
voting as a duty,voting as a choice,53,47,0,100,100,0.53,0.0
corporate personhood,only humans have rights,0,33,67,33,100,0.0,0.67
property rights above all,social good can override property,53,0,47,53,100,1.0,0.47
right to die,preservation of life at all costs,100,0,0,100,100,1.0,0.0
